run,modello,task,domanda_id,voto
1,llama3.1,HumanEval,218,1
1,gemma2:27b,HumanEval,218,1
1,llama3.2,HumanEval,219,0
1,llama3.1,HumanEval,219,0
1,gemma2:27b,HumanEval,219,1
1,llama3.2,MMLU,220,1
1,llama3.1,MMLU,220,1
1,gemma2:27b,MMLU,220,1
1,llama3.2,SQuAD,221,1
1,llama3.1,SQuAD,221,1
1,gemma2:27b,SQuAD,221,1
1,llama3.2,HumanEval,222,1
1,llama3.1,HumanEval,222,1
1,gemma2:27b,HumanEval,222,1
1,llama3.2,MMLU,223,1
1,llama3.1,MMLU,223,1
1,gemma2:27b,MMLU,223,1
1,llama3.2,HellaSwag,224,1
1,llama3.1,HellaSwag,224,0
1,gemma2:27b,HellaSwag,224,1
1,llama3.2,GSM8K,225,1
1,llama3.1,GSM8K,225,1
1,gemma2:27b,GSM8K,225,1
1,llama3.2,HumanEval,226,1
1,llama3.1,HumanEval,226,0
1,gemma2:27b,HumanEval,226,0
1,llama3.2,MMLU,227,1
1,llama3.1,MMLU,227,1
1,gemma2:27b,MMLU,227,1
1,llama3.2,HellaSwag,228,0
1,llama3.1,HellaSwag,228,0
1,gemma2:27b,HellaSwag,228,0
1,llama3.2,GSM8K,229,1
1,llama3.1,GSM8K,229,1
1,gemma2:27b,GSM8K,229,0
1,llama3.2,HumanEval,230,1
1,llama3.1,HumanEval,230,1
1,gemma2:27b,HumanEval,230,1
1,llama3.2,HumanEval,231,0
1,llama3.1,HumanEval,231,1
1,gemma2:27b,HumanEval,231,1
1,llama3.2,HumanEval,232,1
1,llama3.1,HumanEval,232,1
1,gemma2:27b,HumanEval,232,0
1,llama3.2,SQuAD,233,1
1,llama3.1,SQuAD,233,0
1,gemma2:27b,SQuAD,233,1
1,llama3.2,HumanEval,234,1
1,llama3.1,HumanEval,234,1
1,gemma2:27b,HumanEval,234,1
1,llama3.2,GSM8K,235,0
1,llama3.1,GSM8K,235,0
1,gemma2:27b,GSM8K,235,0
1,llama3.2,HellaSwag,236,1
1,llama3.1,HellaSwag,236,1
1,gemma2:27b,HellaSwag,236,1
1,llama3.2,MMLU,237,1
1,llama3.1,MMLU,237,1
1,gemma2:27b,MMLU,237,1
1,llama3.2,HumanEval,238,1
1,llama3.1,HumanEval,238,1
1,gemma2:27b,HumanEval,238,1
1,llama3.2,GSM8K,239,1
1,llama3.1,GSM8K,239,1
1,gemma2:27b,GSM8K,239,1
1,llama3.2,SQuAD,240,1
1,llama3.1,SQuAD,240,1
1,gemma2:27b,SQuAD,240,1
1,llama3.2,HumanEval,241,1
1,llama3.1,HumanEval,241,1
1,gemma2:27b,HumanEval,241,1
1,llama3.2,MMLU,242,1
1,llama3.1,MMLU,242,1
1,gemma2:27b,MMLU,242,1
1,llama3.2,GSM8K,243,1
1,llama3.1,GSM8K,243,0
1,gemma2:27b,GSM8K,243,1
1,llama3.2,SQuAD,244,0
1,llama3.1,SQuAD,244,1
1,gemma2:27b,SQuAD,244,1
1,llama3.2,SQuAD,245,0
1,llama3.1,SQuAD,245,1
1,gemma2:27b,SQuAD,245,1
1,llama3.2,SQuAD,246,1
1,llama3.1,SQuAD,246,1
1,gemma2:27b,SQuAD,246,1
1,llama3.2,MMLU,247,0
1,llama3.1,MMLU,247,1
1,gemma2:27b,MMLU,247,1
1,llama3.2,HumanEval,248,1
1,llama3.1,HumanEval,248,1
1,gemma2:27b,HumanEval,248,1
1,llama3.2,GSM8K,249,0
1,llama3.1,GSM8K,249,1
